Job Title,Company Name,Location,Publishing Date,Job Type,Skills,Job Requirements
,,,,,,
Python / Django Senior Developer,RDI -,"Dokki, Giza, Egypt ",Posted 2 days ago,Full Time,Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Django · Python · MySQL · PostgresSQL · Linux · Shell · Google Cloud Platform · Debugging,"Requirements:3+ years of on-the-job software engineering experience with a proven track record of delivering highly scalable solutions rapidly.Solid database skills in a relational database (i.e. PostgresSQL, MySQL, etc.)Knowledge of how to build and use RESTful APIs.Experience with modern JavaScript frameworks such as React.Proficiency using industry standard 3rd party tools such as Docker.Strong knowledge of version control (git).Experience deploying Python applications into production.Understanding of the threading limitations of Python, and multi-process architecture.Knowledge of user authentication and authorization between multiple systems, servers, and environments.Strong unit test and debugging skills.Google Cloud Platform (GCP) knowledge is a plus.Experience working in Linux environments and basic shell is a plus."
,,,,,,
Python API Developer Ocucon Team (UK) - (Alexandria),Procrew -,"Alexandria, Egypt ",Posted 14 hours ago,Full Time,Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Software · Python · Computer Science · Development · Flask · ORM · Software Testing · Software Development,Excellent knowledge of software testing fundamentals.3-5 years of experience in the Software development field.Work experience as a Python DeveloperExpertise in at least one popular Python framework (ideally Flask or FastAPI)Knowledge of object-relational mapping (ORM)Team spiritGood problem-solving skillsExcellent written and spoken English.
,,,,,,
Python Developer Remote - Urgent,GetTechForce.com -,"Cairo, Egypt ",Posted 2 days ago,Full TimeWork From Home,Full TimeWork From HomeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · React · FullStack · backend · Computer Science · Agile · Development · Django,"We are looking for a professional/mid-level or senior level developer for Python and the Django framework who speaks intermediate to good English and is communicative. Our requirements toward specific development skills and experience depend on the skill level: Professional/mid-level: backend/frontend experience for ~3-5 years. Leading/stand-alone solving/debugging task/tickets.Senior: backend/frontend experience for 5 and more years. Team & project lead, facilitating agile teamwork and continuous integration processes, making architectural design decisions. "
,,,,,,
Python Tech Lead,Eastern Enterprise -,"Cairo, Egypt ",Posted 3 days ago,Full TimeWork From Home,Full TimeWork From HomeManager · 8 - 12 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Git · Python · Programming · Software Development · Computer Science · Design · AWS,"You have 8+ years programming experience using PythonSolid hands-on experience of Design Pattern (5+ years work experience)Proficiency with Python 3 (5+ years work experience)To ensure success as a Sr. developer, you should have strong managerial skills, extensive experience with Python, and advanced problem-solving skills. Proficiency with Object Oriented Programming (5+ years work experience)Proficiency with Docker and Kubernetes (3+ years work experience)Proficiency of working with GitHub, Docker, Linux (3+ years work experience)Proficiency of writing test cases (3+ years work experience with TDD)Experience of developing and maintaining CI/CD pipelinesExperience of developing and maintaining micro-servicesExperience of developing and maintaining API endpointsExperience of developing and maintaining live productExperience of using Numpy, Pandas, Jupyter NotebooksExperience with Git-based versioning and Git workflowsUnderstanding of design patternsKnowledge of Scrum techniquesGood experience in Team handing and mentoringFluency in English, both written and spoken, is requiredYou score bonus points if you:Knowledge of Cloud (AWS Certified Cloud Practitioner Certified)Knowledge of web frameworks (Flask/Django)Experience of Data Engineering (3+ years production experience)Experience of working with gRPC (1+ years production experience)Experience of working with remote development teamsKnowledge and experience of DevOps concepts and tools"
,,,,,,
Technical Team Leader - Python /Django,Div Systems -,"Mokattam, Cairo, Egypt ",Posted 3 days ago,Full Time,Full TimeManager · 4 - 8 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python Development Lead · Lead Python Engineer · Lead Software Development Engineer / Mentor · Python Developer · Engineering · Software Development · Python · Django Rest framework-,"Solid knowledge of the HTTP protocol-PostgreSQL- Django , Django Rest framework- Python Expert- Linux server environment-ideally Git- JavaScript -Database Knowledge (Microsoft SQL , Oracle) is preferred"
,,,,,,
Senior Python Backend Developer,CROCOSOFT -,"New Cairo, Cairo, Egypt ",Posted 10 days ago,Full TimeWork From Home,Full TimeWork From HomeExperienced · 2 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Flask · Git · Microservice Architecture · Relational Databases · Design Patterns · English · Information Technology (IT),Knowledge of algorithms and data structures and design patterns.Strong analytical and reasoning skills with an ability to visualize processes and outcomes. Proficiency in troubleshooting software issues and debugging a large codebase.A passion for solving problems and providing workable solutions.Python. (OOP & functional programming paradigms & MicroService Architecture preferably Flask)GIT using Github. ( basic commands and branching models)Serverless (conceptual).Proficiency in relational DB design and performance improvement.English fluency is a must.
,,,,,,
Senior Python Django Full Stack Developer,LINK Development -,"Maadi, Cairo, Egypt ",Posted 15 days ago,Full Time,Full TimeExperienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Software Development · Python · Information Technology (IT) · javaScript · SQL · Software · Software Engineering,"Bachelor’s Degree in Software Engineering or equivalent major. Minimum 2 years solid experience as Python developer and extensive knowledge of Django stack.Understanding of the threading limitations of Python, and multi-process architecture.Familiarity with event-driven programming in Python.Advanced experience with SQL and NoSQL databases, MYSQL is a must.Practical knowledge in performance optimizations. Experience with microservices architecture and REST APIs.Experience with docker/docker-compose.Basic understanding of front-end technologies, such as JavaScript, HTML5, and CSS3.Full Understanding of accessibility and security compliance.Problem-solving, strong unit test, and debugging skills.Practical knwoldage in Cloud (AWS/Azure).Proven experience with Oddo is a plus."
,,,,,,
Senior Python Developer,Alpha Ralph -,"Alexandria, Egypt ",Posted 22 days ago,Freelance / Project,Freelance / ProjectExperienced · 3 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Flask · Framework · Python · Software Engineering · Software Development,"Work experience as a Python DeveloperExpertise in at least one popular Python framework (like Django, Flask or Pyramid)Knowledge of object-relational mapping (ORM)Familiarity with front-end technologies (like JavaScript and HTML5)Team spiritGood problem-solving skillsProblem solved and highly self dependent of delivering the solution"
,,,,,,
Python Developer - Focused on Cloud Automation,GIG Tech   -,"Cairo, Egypt ",Posted 24 days ago,Full TimeWork From Home,Full TimeWork From HomeExperienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Cloud · Bash · Linux · PowerShell · Python · qemu · terraform · ansible,"Minimum qualifications Bachelor degree or equivalent practical experience.Experience with PythonExperience with multiple Operating Systems. (Linux, Windows,...)Understanding the concepts of Cloud architecture.Independent, responsible, able to work in a teamPreferred qualificationsExperience in Terraform, Ansible, Bash, Powershell, Gitlab CIExperience with cloud-init and QEMU/KVM2 years or more Python dev or DevOps Experience.Experience in a UNIX environment.Experience with cloud services.Experience with Kubernetes is a plus"
,,,,,,
Junior Python Developer,RDI -,"Dokki, Giza, Egypt ",Posted 24 days ago,Full Time,Full TimeEntry Level · 1 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Angular · Computer Science · Information Technology (IT) · SQL · MySQL · RESTful · JavaScript,"A bachelor’s degree in computer science, engineering, or related field1-3 years of related work experience; internship experience countsGood database skills in a relational database (i.e. PostgresSQL, MySQL, etc.)Knowledge of how to build and use RESTful APIs Experience with modern JavaScript frameworks such as Angular and React.Fair knowledge of version control (like git).Unit test and debugging skills is a plus.Google Cloud Platform (GCP) knowledge is a plus."
,,,,,,
Senior Full Stack Developer (Python - Django & React),RDI -,"Dokki, Giza, Egypt ",Posted 27 days ago,Full Time,Full TimeExperienced · 5+ Yrs of Exp · Creative/Design/Art · IT/Software Development · Engineering - Telecom/Technology · Full Stack Development · React.js · Python · Django · RESTful APIs · HTML5 · Git,"5+ years of software development experience, and strong proficiency in JavaScript, React, Python and Django.Bachelor’s degree in Computer Science, Computer Engineering, or equivalent experienceSolid database skills in a relational database (i.e. PostgresSQL, MySQL, etc.)Knowledge of how to build and use with RESTful APIs.Proficiency using industry standard 3rd party tools such as Docker.Advanced Git/Github Knowledge.Experience deploying Python applications into production.Understanding of the threading limitations of Python, and multi-process architecture.Knowledge of user authentication and authorization between multiple systems, servers, and environments.Strong unit test and debugging skills.Google Cloud Platform (GCP) knowledge is a plus.Experience working in Linux environments and basic shell is a plus.Thorough understanding of React.js and its core principlesFamiliar with popular React.js workflows (such as Redux for state management) and the NextJS Framework.Proficient understanding of cross-browser compatibility issues and ways to work around.Good understanding of HTML5 and CSS3.Knowledge of functional programming and object-oriented programming paradigms.Understanding of server-side rendering and its benefits and use cases.Familiar with build tools like (npm, webpack, gulp, bower and ...etc).Experience with Agile development methodologies.Dealing with API, Postman.Familiarity working closely with UX and Visual Designers in a dynamic environment.Good command of both written and spoken English.     "
,,,,,,
Senior Python Back-End Developer (Remote),skora tech -,"Cairo, Egypt ",Posted 29 days ago,Full TimeWork From Home,Full TimeWork From HomeExperienced · 2 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Computer Science · MySQL · Software Development · Software Engineering · Docker · Java · AWS,"Desired Skills & ExperienceMinimum RequirementsBSc Computer Science Graduate, senior level Software Developer. Must be energetic with a desire and passion to learn and work independently or in a team setting to revolutionize the football industry.Technical Competency Areas:PythonFast APILinodeDockerPandasWeb ScrapingKubernetesDatabase (Mysql)Java spring bootMicroservicesPlus: AI & data-driven technical know-how with python, data science, machine learning, deep learning, datasets and data visualization etc."
,,,,,,
Junior Python Developer,Copartners -,"Nasr City, Cairo, Egypt ",Posted 29 days ago,Full Time,Full TimeEntry Level · 0 - 1 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Software Development · Software Engineering · JavaScript · jQuery · CSS · HTML · Python,"0 - 1 years of experience.Computer Science/ Engineering graduatePython knowledge is a mustGood knowledge of LinuxBasic understanding of relational database systemsHTML, CSS, jQuery and JavaScript knowledge is a plusThe candidate should have the ability for quick self studySelf solo learner / independent worker"
,,,,,,
